text,span,label,ordinal
positive point  1 camera quality is good but not enough 710 2 battery  quality is good 1 day backup for normal users  810 3 design  910 4 display 910 5 performance 710  negetive point  1wifi calling is too bad 210,battery,positive,0
after using 3 days here is my concern regarding the phone pros  1 excellent display and design  2  battery performance is very good  3camera quality  4sound quality is impressive  cons  1phone is getting heated while charging  2while first time using fingerprint after switch on the phone feeling some lag  overall  having a good experience till now by using the phone ,battery,positive,0
all things is good in this phone camera quality display battery totally in best in this range,battery,positive,0
phone is awesome and camera quality is super awesome every picture is excellent  performance good but some times feel the phone is stucked battery is becoming hot when i use camera overall phone is superb  loved it ,battery,positive,0
all good but battery performance is not so goodlooks very good  performance  very good  camera  very good  design good improve battery performance,design,positive,0
the samsung s23 fe is a solid phone with several standout features the camera quality is impressive capturing detailed and vibrant photos it has a premium look and feel and the sound quality is excellent performancewise it handles tasks efficiently and smoothly however the battery life is a downside as it requires charging at least twice a day  pros  camera excellent quality producing detailed and vibrant photos  design premium look and feel  sound quality clear and robust audio  performance handles tasks efficiently and smoothly  ai features useful for enhancing daily tasks and overall user experience  cons battery life requires charging at least twice a day  overall the samsung s23 fe is a good phone with strong features though its battery life could be improved,design,positive,0
battery backup is at worst and mobile hitting so much even during normal use except than that everything is just wow display performance camera design are awesome,design,positive,0
the samsung galaxy s23 fe 128gb variant delivers an almost flagshiplevel experience with its stunning display powerful performance and versatile camera system the only significant drawback is the battery life which might not suffice for power users nevertheless for those seeking a highquality smartphone at a reasonable price the galaxy s23 fe is a compelling choice that offers great value for moneyoverall despite the battery backup issue my experience with the samsung galaxy s23 fe has been amazing making it a device i can confidently recommend to others,camera,positive,0
all good but battery performance is not so goodlooks very good  performance  very good  camera  very good  design good improve battery performance,camera,positive,0
no doubt paisa vasool product at this price range 34k  camera 5 desi 45  battery 4 performance 45  just buy it utilise summersale ,camera,negative,0
battery backup is at worst and mobile hitting so much even during normal use except than that everything is just wow display performance camera design are awesome,camera,positive,0
positive point  1 camera quality is good but not enough 710 2 battery  quality is good 1 day backup for normal users  810 3 design  910 4 display 910 5 performance 710  negetive point  1wifi calling is too bad 210,display,positive,0
the camera quality is highly praised with features like 144hz 50mp and a dedicated macro camera the display is consistently described as stunning with a curved edge and high refresh rate the phones design is frequently mentioned as premium and sleek,display,positive,0
